workload,batch,sm,block_count,elapsed_sum
compute,64,38,256,192183695
compute,64,39,256,192164776
compute,64,40,256,192138347
compute,64,41,256,192123346
compute,64,42,256,192217753
compute,64,43,256,192202283
compute,64,44,256,192242955
compute,64,45,256,192164598
compute,64,46,256,192165073
compute,64,47,256,192105530
compute,64,48,256,192090858
compute,64,49,256,192070327
compute,64,50,256,192083124
compute,64,51,256,192038591
compute,64,52,256,192121153
compute,64,53,256,192088195
compute,64,54,256,192288356
compute,64,55,256,192192609
compute,64,56,256,192302416
compute,64,57,256,192243560
compute,64,58,256,192149646
compute,64,59,256,192088280
compute,64,60,256,192159492
compute,64,61,256,192133755
compute,64,62,256,192240600
compute,64,63,256,192136438
compute,64,64,256,192307657
compute,64,65,256,192284005
compute,64,66,256,192283062
compute,64,67,256,192243183
compute,64,68,256,192254264
compute,64,69,256,192226718
compute,64,70,256,192194688
compute,64,71,256,192106214
compute,64,72,256,192173213
compute,64,73,256,192071714
compute,64,74,256,192221387
compute,64,75,256,192183465
compute,64,76,256,192314555
compute,64,77,256,192300188
compute,64,78,256,192355507
compute,64,79,256,192316557
compute,64,80,256,192248593
compute,64,81,256,192196370
compute,64,82,256,192271349
compute,64,83,256,192155419
compute,64,84,256,192142653
compute,64,85,256,192107208
compute,64,86,256,192267149
compute,64,87,256,192193658
compute,64,88,256,192232809
compute,64,89,256,192206247
compute,64,90,256,192198879
compute,64,91,256,192148259
compute,64,92,256,192088164
compute,64,93,256,192070821
compute,64,94,256,192069417
compute,64,95,256,192046023
compute,64,96,256,192179360
compute,64,97,256,192105787
compute,64,98,256,192283627
compute,64,99,256,192269601
compute,64,100,256,192300128
compute,64,101,256,192285389
compute,64,102,256,192203956
compute,64,103,256,192145665
compute,64,104,256,192161319
compute,64,105,256,192134104
compute,64,106,256,192122294
compute,64,107,256,192106925
compute,64,108,256,192177936
compute,64,109,256,192173932
compute,64,110,256,192215196
compute,64,111,256,192149188
compute,64,112,256,192125716
compute,64,113,256,192098618
compute,64,114,256,192078081
compute,64,115,256,192067629
compute,64,116,256,192051878
compute,64,117,256,192034218
compute,64,118,256,192085880
compute,64,119,256,192064553
compute,64,120,256,192237245
compute,64,121,256,192189801
compute,64,122,256,192280280
compute,64,123,256,192243039
compute,64,124,256,192110894
compute,64,125,256,192091749
compute,64,126,256,192138772
compute,64,127,256,192127511
compute,128,0,512,717389537
compute,128,1,512,717391284
compute,128,2,512,717416046
compute,128,3,512,717260235
compute,128,4,512,717381078
compute,128,5,512,717295739
compute,128,6,512,717163646
compute,128,7,512,717303739
compute,128,8,512,717219819
compute,128,9,512,717291128
compute,128,10,512,717495182
compute,128,11,512,717375867
compute,128,12,512,717477616
compute,128,13,512,717339251
compute,128,14,512,717435853
compute,128,15,512,717181709
compute,128,16,512,717173589
compute,128,17,512,717444493
compute,128,18,512,717299756
compute,128,19,512,717370394
compute,128,20,512,717422032
compute,128,21,512,717370704
compute,128,22,512,717339407
compute,128,23,512,717375203
compute,128,24,512,717417532
compute,128,25,512,717380055
compute,128,26,512,717390843
compute,128,27,512,717061009
compute,128,28,512,717282985
compute,128,29,512,717250696
compute,128,30,512,717359024
compute,128,31,512,717306161
compute,128,32,512,717426307
compute,128,33,512,717412736
compute,128,34,512,717518018
compute,128,35,512,717319479
compute,128,36,512,717360872
compute,128,37,512,717169719
compute,128,38,512,717365602
compute,128,39,512,717338445
compute,128,40,512,717325202
compute,128,41,512,717151659
compute,128,42,512,717472712
compute,128,43,512,717439450
compute,128,44,512,717314930
compute,128,45,512,717383031
compute,128,46,512,717181483
compute,128,47,512,717356901
compute,128,48,512,717332858
compute,128,49,512,717250577
compute,128,50,512,717114423
compute,128,51,512,717203089
compute,128,52,512,717324715
compute,128,53,512,717272469
compute,128,54,512,717431453
compute,128,55,512,717418147
compute,128,56,512,717289413
compute,128,57,512,717442295
compute,128,58,512,717242188
compute,128,59,512,717306810
compute,128,60,512,717190073
compute,128,61,512,717385304
compute,128,62,512,717354324
compute,128,63,512,717408470
compute,128,64,512,717436976
compute,128,65,512,717443605
compute,128,66,512,717258272
compute,128,67,512,717437880
compute,128,68,512,717210757
compute,128,69,512,717205239
compute,128,70,512,717390383
compute,128,71,512,717363960
compute,128,72,512,717304442
compute,128,73,512,717237590
compute,128,74,512,717137999
compute,128,75,512,717372233
compute,128,76,512,717409138
compute,128,77,512,717472291
compute,128,78,512,717534345
compute,128,79,512,717494472
compute,128,80,512,717263813
compute,128,81,512,717167930
compute,128,82,512,717325631
compute,128,83,512,717425523
compute,128,84,512,717223989
compute,128,85,512,717359270
compute,128,86,512,717422448
compute,128,87,512,717444691
compute,128,88,512,717326880
compute,128,89,512,717403495
compute,128,90,512,717349499
compute,128,91,512,717379361
compute,128,92,512,717244063
compute,128,93,512,717304424
compute,128,94,512,717331329
compute,128,95,512,717297997
compute,128,96,512,717141328
compute,128,97,512,717331573
compute,128,98,512,717392896
compute,128,99,512,717355327
compute,128,100,512,717501695
compute,128,101,512,717386372
compute,128,102,512,717404559
compute,128,103,512,717219924
compute,128,104,512,717398851
compute,128,105,512,717317174
compute,128,106,512,717369750
compute,128,107,512,717166894
compute,128,108,512,717460286
compute,128,109,512,717201260
compute,128,110,512,717314831
compute,128,111,512,717227444
compute,128,112,512,717377013
compute,128,113,512,717349348
compute,128,114,512,717349379
compute,128,115,512,717237769
compute,128,116,512,717254111
compute,128,117,512,717240235
compute,128,118,512,717366503
compute,128,119,512,717272821
compute,128,120,512,717297052
compute,128,121,512,717438967
compute,128,122,512,717420472
compute,128,123,512,717419339
compute,128,124,512,717321232
compute,128,125,512,717125312
compute,128,126,512,717359905
compute,128,127,512,717107569
memory,8,0,32,53853
memory,8,1,32,61270
memory,8,2,32,55351
memory,8,3,32,56466
memory,8,4,32,50404
memory,8,5,32,56232
memory,8,6,32,54004
memory,8,7,32,58841
memory,8,8,32,53288
memory,8,9,32,59269
memory,8,10,32,55791
memory,8,11,32,61556
memory,8,12,32,61372
memory,8,13,32,59411
memory,8,14,32,51165
memory,8,15,32,60333
memory,8,16,32,52165
memory,8,17,32,59073
memory,8,18,32,51832
memory,8,19,32,55871
memory,8,20,32,55902
memory,8,21,32,64312
memory,8,22,32,57844
memory,8,23,32,60679
memory,8,24,32,54390
memory,8,25,32,55532
memory,8,26,32,50216
memory,8,27,32,57543
memory,8,28,32,54901
memory,8,29,32,55008
memory,8,30,32,62384
memory,8,31,32,60186
memory,8,32,32,60817
memory,8,33,32,63219
memory,8,34,32,62880
memory,8,35,32,66904
memory,8,36,32,55439
memory,8,37,32,63985
memory,8,38,32,56593
memory,8,39,32,61740
memory,8,40,32,56991
memory,8,41,32,59509
memory,8,42,32,59053
memory,8,43,32,59521
memory,8,44,32,62328
memory,8,45,32,67135
memory,8,46,32,59910
memory,8,47,32,58431
memory,8,48,32,56629
memory,8,49,32,56228
memory,8,50,32,58704
memory,8,51,32,64666
memory,8,52,32,62848
memory,8,53,32,64284
memory,8,54,32,62306
memory,8,55,32,60725
memory,8,56,32,68312
memory,8,57,32,61221
memory,8,58,32,63687
memory,8,59,32,63516
memory,8,60,32,63268
memory,8,61,32,56829
memory,8,62,32,51640
memory,8,63,32,50848
memory,8,64,32,56928
memory,8,65,32,54288
memory,8,66,32,66678
memory,8,67,32,55297
memory,8,68,32,58492
memory,8,69,32,54581
memory,8,70,32,59868
memory,8,71,32,54971
memory,8,72,32,55075
memory,8,73,32,53321
memory,8,74,32,61244
memory,8,75,32,57198
memory,8,76,32,61510
memory,8,77,32,60179
memory,8,78,32,63703
memory,8,79,32,60044
memory,8,80,32,60268
memory,8,81,32,60167
memory,8,82,32,57125
memory,8,83,32,55320
memory,8,84,32,57094
memory,8,85,32,54593
memory,8,86,32,55975
memory,8,87,32,58110
memory,8,88,32,56993
memory,8,89,32,66207
memory,8,90,32,59829
memory,8,91,32,57616
memory,8,92,32,56479
memory,8,93,32,57951
memory,8,94,32,52788
memory,8,95,32,58957
memory,8,96,32,56023
memory,8,97,32,58771
memory,8,98,32,54753
memory,8,99,32,58604
memory,8,100,32,55011
memory,8,101,32,61464
memory,8,102,32,53031
memory,8,103,32,57041
memory,8,104,32,59018
memory,8,105,32,57842
memory,8,106,32,56951
memory,8,107,32,58931
memory,8,108,32,53890
memory,8,109,32,59597
memory,8,110,32,54927
memory,8,111,32,62270
memory,8,112,32,56958
memory,8,113,32,59697
memory,8,114,32,55004
memory,8,115,32,59132
memory,8,116,32,55180
memory,8,117,32,58968
memory,8,118,32,60134
memory,8,119,32,57749
memory,8,120,32,54809
memory,8,121,32,70815
memory,8,122,32,57739
memory,8,123,32,63521
memory,8,124,32,60523
memory,8,125,32,63296
memory,8,126,32,57660
memory,8,127,32,59098
memory,16,0,72,141513
memory,16,1,59,128594
memory,16,2,73,136318
memory,16,3,62,115263
memory,16,4,74,128583
memory,16,5,67,126512
memory,16,6,79,155536
memory,16,7,64,124285
memory,16,8,75,155058
memory,16,9,58,118287
memory,16,10,72,141617
memory,16,11,59,125093
memory,16,12,70,139124
memory,16,13,58,130455
memory,16,14,72,135315
memory,16,15,63,127020
memory,16,16,75,135779
memory,16,17,58,118629
memory,16,18,76,147293
memory,16,19,63,125164
memory,16,20,69,143866
memory,16,21,65,127911
memory,16,22,68,148254
memory,16,23,66,141108
memory,16,24,74,147371
memory,16,25,68,128705
memory,16,26,71,141706
memory,16,27,72,128805
memory,16,28,77,148529
memory,16,29,67,121804
memory,16,30,70,140607
memory,16,31,67,125931
memory,16,32,69,149624
memory,16,33,66,142791
memory,16,34,63,142447
memory,16,35,66,134203
memory,16,36,71,152249
memory,16,37,68,136135
memory,16,38,72,140042
memory,16,39,70,131621
memory,16,40,71,138524
memory,16,41,68,130611
memory,16,42,70,157821
memory,16,43,66,128865
memory,16,44,67,160659
memory,16,45,63,115037
memory,16,46,67,144209
memory,16,47,65,122463
memory,16,48,69,151231
memory,16,49,66,123644
memory,16,50,71,138854
memory,16,51,65,119847
memory,16,52,70,163650
memory,16,53,64,127047
memory,16,54,68,168768
memory,16,55,63,136099
memory,16,56,66,150115
memory,16,57,62,120508
memory,16,58,60,147076
memory,16,59,62,121454
memory,16,60,71,156061
memory,16,61,66,122475
memory,16,62,75,147800
memory,16,63,67,110305
memory,16,64,66,134136
memory,16,65,64,107421
memory,16,66,70,154979
memory,16,67,63,114749
memory,16,68,68,147894
memory,16,69,66,115706
memory,16,70,69,139167
memory,16,71,67,109124
memory,16,72,69,141116
memory,16,73,65,115015
memory,16,74,66,141667
memory,16,75,64,112225
memory,16,76,63,160113
memory,16,77,62,119841
memory,16,78,59,139132
memory,16,79,63,118160
memory,16,80,68,146808
memory,16,81,63,121266
memory,16,82,64,135959
memory,16,83,64,115431
memory,16,84,62,131626
memory,16,85,64,114072
memory,16,86,64,142034
memory,16,87,60,120186
memory,16,88,63,134236
memory,16,89,51,112029
memory,16,90,66,144491
memory,16,91,57,117790
memory,16,92,67,120698
memory,16,93,55,119496
memory,16,94,70,128580
memory,16,95,57,112910
memory,16,96,62,135935
memory,16,97,55,112921
memory,16,98,61,140697
memory,16,99,55,122225
memory,16,100,65,142456
memory,16,101,53,119345
memory,16,102,61,138435
memory,16,103,48,112630
memory,16,104,67,149630
memory,16,105,55,113788
memory,16,106,71,144858
memory,16,107,61,121519
memory,16,108,59,124090
memory,16,109,54,113864
memory,16,110,54,132372
memory,16,111,52,121378
memory,16,112,63,138579
memory,16,113,53,106879
memory,16,114,57,120348
memory,16,115,50,112634
memory,16,116,63,131585
memory,16,117,56,116298
memory,16,118,61,141301
memory,16,119,58,120595
memory,16,120,53,123961
memory,16,121,50,114547
memory,16,122,57,142962
memory,16,123,48,118474
memory,16,124,57,130273
memory,16,125,51,109771
memory,16,126,58,131694
memory,16,127,55,115725
memory,32,0,129,283012
memory,32,1,126,286593
memory,32,2,135,282958
memory,32,3,134,288942
memory,32,4,135,277948
memory,32,5,130,275262
memory,32,6,139,285763
memory,32,7,133,279129
memory,32,8,130,278843
memory,32,9,132,272767
memory,32,10,132,285073
memory,32,11,118,274101
memory,32,12,132,284248
memory,32,13,127,295427
memory,32,14,131,277376
memory,32,15,124,275947
memory,32,16,140,286920
memory,32,17,123,269505
memory,32,18,143,297939
memory,32,19,131,276809
memory,32,20,130,279608
memory,32,21,122,271663
memory,32,22,128,281716
memory,32,23,124,274810
memory,32,24,133,289675
memory,32,25,132,269505
memory,32,26,133,278865
memory,32,27,131,271378
memory,32,28,138,282680
memory,32,29,134,268948
memory,32,30,130,287472
