workload,batch,trace_id,kernel_run_id,sm,block_count,sched_event_count,sched_cycles_total,sched_mean_cycles,sched_p95_cycles,sched_max_cycles,work_cycles_total,block_elapsed_mean_cycles,block_elapsed_p95_cycles,inferred_slot_count
compute,8,Mar08_221120_1837392,2.236515,14,4,0,0,0.0,0.0,0,1978989,494747.25,586085.45,4
compute,8,Mar08_221120_1837392,2.236515,15,4,0,0,0.0,0.0,0,2002548,500637.0,585662.25,4
compute,8,Mar08_221120_1837392,2.236515,16,4,0,0,0.0,0.0,0,1959991,489997.75,582427.8999999999,4
compute,8,Mar08_221120_1837392,2.236515,17,4,0,0,0.0,0.0,0,1992781,498195.25,584425.35,4
compute,8,Mar08_221120_1837392,2.236515,18,4,0,0,0.0,0.0,0,1966140,491535.0,582182.3999999999,4
compute,8,Mar08_221120_1837392,2.236515,19,4,0,0,0.0,0.0,0,1985526,496381.5,583818.5,4
compute,8,Mar08_221120_1837392,2.236515,20,4,0,0,0.0,0.0,0,1979545,494886.25,584032.75,4
compute,8,Mar08_221120_1837392,2.236515,21,4,0,0,0.0,0.0,0,1991051,497762.75,584317.7,4
compute,8,Mar08_221120_1837392,2.236515,22,4,0,0,0.0,0.0,0,1998294,499573.5,585190.5,4
compute,8,Mar08_221120_1837392,2.236515,23,4,0,0,0.0,0.0,0,1986947,496736.75,583595.8999999999,4
compute,8,Mar08_221120_1837392,2.236515,24,4,0,0,0.0,0.0,0,1975990,493997.5,585509.85,4
compute,8,Mar08_221120_1837392,2.236515,25,4,0,0,0.0,0.0,0,1968505,492126.25,583145.7999999999,4
compute,8,Mar08_221120_1837392,2.236515,26,4,0,0,0.0,0.0,0,1969794,492448.5,582010.1499999999,4
compute,8,Mar08_221120_1837392,2.236515,27,4,0,0,0.0,0.0,0,1971227,492806.75,582943.7,4
compute,8,Mar08_221120_1837392,2.236515,28,4,0,0,0.0,0.0,0,1992439,498109.75,583035.6499999999,4
compute,8,Mar08_221120_1837392,2.236515,29,4,0,0,0.0,0.0,0,1963679,490919.75,581929.3999999999,4
compute,8,Mar08_221120_1837392,2.236515,30,4,0,0,0.0,0.0,0,2011717,502929.25,583973.2999999999,4
compute,8,Mar08_221120_1837392,2.236515,31,4,0,0,0.0,0.0,0,1962579,490644.75,582099.45,4
compute,8,Mar08_221120_1837392,2.236515,32,4,0,0,0.0,0.0,0,2012100,503025.0,586623.5499999999,4
compute,8,Mar08_221120_1837392,2.236515,33,4,0,0,0.0,0.0,0,1991395,497848.75,584851.1,4
compute,8,Mar08_221120_1837392,2.236515,34,4,0,0,0.0,0.0,0,2023563,505890.75,587074.1499999999,4
compute,8,Mar08_221120_1837392,2.236515,35,4,0,0,0.0,0.0,0,1978752,494688.0,584103.25,4
compute,8,Mar08_221120_1837392,2.236515,36,4,0,0,0.0,0.0,0,2008974,502243.5,583921.95,4
compute,8,Mar08_221120_1837392,2.236515,37,4,0,0,0.0,0.0,0,1975045,493761.25,584450.5499999999,4
compute,8,Mar08_221120_1837392,2.236515,38,4,0,0,0.0,0.0,0,2011431,502857.75,584724.1499999999,4
compute,8,Mar08_221120_1837392,2.236515,39,4,0,0,0.0,0.0,0,1971411,492852.75,583378.2999999999,4
compute,8,Mar08_221120_1837392,2.236515,40,4,0,0,0.0,0.0,0,1995759,498939.75,583225.3999999999,4
compute,8,Mar08_221120_1837392,2.236515,41,4,0,0,0.0,0.0,0,1972670,493167.5,582951.6,4
compute,8,Mar08_221120_1837392,2.236515,42,4,0,0,0.0,0.0,0,1991710,497927.5,583437.25,4
compute,8,Mar08_221120_1837392,2.236515,43,4,0,0,0.0,0.0,0,1978926,494731.5,584479.5,4
compute,8,Mar08_221120_1837392,2.236515,44,4,0,0,0.0,0.0,0,1972747,493186.75,585754.1,4
compute,8,Mar08_221120_1837392,2.236515,45,4,0,0,0.0,0.0,0,1979945,494986.25,583917.5499999999,4
compute,8,Mar08_221120_1837392,2.236515,46,4,0,0,0.0,0.0,0,1966068,491517.0,582478.0499999999,4
compute,8,Mar08_221120_1837392,2.236515,47,4,0,0,0.0,0.0,0,1952406,488101.5,582297.5,4
compute,8,Mar08_221120_1837392,2.236515,48,4,0,0,0.0,0.0,0,1962871,490717.75,580915.2999999999,4
compute,8,Mar08_221120_1837392,2.236515,49,4,0,0,0.0,0.0,0,1967556,491889.0,582770.1499999999,4
compute,8,Mar08_221120_1837392,2.236515,50,4,0,0,0.0,0.0,0,1981910,495477.5,581793.35,4
compute,8,Mar08_221120_1837392,2.236515,51,4,0,0,0.0,0.0,0,1969464,492366.0,582579.1499999999,4
compute,8,Mar08_221120_1837392,2.236515,52,4,0,0,0.0,0.0,0,1967170,491792.5,582502.1499999999,4
compute,8,Mar08_221120_1837392,2.236515,53,4,0,0,0.0,0.0,0,1970867,492716.75,582642.35,4
compute,8,Mar08_221120_1837392,2.236515,54,4,0,0,0.0,0.0,0,1977344,494336.0,587856.85,4
compute,8,Mar08_221120_1837392,2.236515,55,4,0,0,0.0,0.0,0,1990464,497616.0,584723.2,4
compute,8,Mar08_221120_1837392,2.236515,56,4,0,0,0.0,0.0,0,1983221,495805.25,587279.7999999999,4
compute,8,Mar08_221120_1837392,2.236515,57,4,0,0,0.0,0.0,0,1982427,495606.75,583808.0499999999,4
compute,8,Mar08_221120_1837392,2.236515,58,4,0,0,0.0,0.0,0,1964951,491237.75,582496.2999999999,4
compute,8,Mar08_221120_1837392,2.236515,59,4,0,0,0.0,0.0,0,1973182,493295.5,583944.85,4
compute,8,Mar08_221120_1837392,2.236515,60,4,0,0,0.0,0.0,0,1957978,489494.5,582675.85,4
compute,8,Mar08_221120_1837392,2.236515,61,4,0,0,0.0,0.0,0,1975032,493758.0,583732.8999999999,4
compute,8,Mar08_221120_1837392,2.236515,62,4,0,0,0.0,0.0,0,1976158,494039.5,582711.5,4
compute,8,Mar08_221120_1837392,2.236515,63,4,0,0,0.0,0.0,0,1975100,493775.0,583224.5499999999,4
compute,8,Mar08_221120_1837392,2.236515,64,4,0,0,0.0,0.0,0,1995596,498899.0,585061.85,4
compute,8,Mar08_221120_1837392,2.236515,65,4,0,0,0.0,0.0,0,1997152,499288.0,584909.2,4
compute,8,Mar08_221120_1837392,2.236515,66,4,0,0,0.0,0.0,0,1984390,496097.5,590087.25,4
compute,8,Mar08_221120_1837392,2.236515,67,4,0,0,0.0,0.0,0,2010505,502626.25,586281.0499999999,4
compute,8,Mar08_221120_1837392,2.236515,68,4,0,0,0.0,0.0,0,1979065,494766.25,584355.8999999999,4
compute,8,Mar08_221120_1837392,2.236515,69,4,0,0,0.0,0.0,0,2004820,501205.0,584098.1499999999,4
compute,8,Mar08_221120_1837392,2.236515,70,4,0,0,0.0,0.0,0,1981233,495308.25,582582.2,4
compute,8,Mar08_221120_1837392,2.236515,71,4,0,0,0.0,0.0,0,1999955,499988.75,584322.85,4
compute,8,Mar08_221120_1837392,2.236515,72,4,0,0,0.0,0.0,0,2010921,502730.25,583788.5,4
compute,8,Mar08_221120_1837392,2.236515,73,4,0,0,0.0,0.0,0,2004569,501142.25,584831.35,4
compute,8,Mar08_221120_1837392,2.236515,74,4,0,0,0.0,0.0,0,2006676,501669.0,585012.8999999999,4
compute,8,Mar08_221120_1837392,2.236515,75,4,0,0,0.0,0.0,0,1996887,499221.75,584855.0,4
compute,8,Mar08_221120_1837392,2.236515,76,4,0,0,0.0,0.0,0,2020636,505159.0,586533.0,4
compute,8,Mar08_221120_1837392,2.236515,77,4,0,0,0.0,0.0,0,2006302,501575.5,585160.3999999999,4
compute,8,Mar08_221120_1837392,2.236515,78,4,0,0,0.0,0.0,0,2015980,503995.0,586143.35,4
compute,8,Mar08_221120_1837392,2.236515,79,4,0,0,0.0,0.0,0,2003379,500844.75,586069.8999999999,4
compute,8,Mar08_221120_1837392,2.236515,80,4,0,0,0.0,0.0,0,2012598,503149.5,584964.3999999999,4
compute,8,Mar08_221120_1837392,2.236515,81,4,0,0,0.0,0.0,0,1996769,499192.25,584012.2,4
compute,8,Mar08_221120_1837392,2.236515,82,4,0,0,0.0,0.0,0,1996912,499228.0,582403.6499999999,4
compute,8,Mar08_221120_1837392,2.236515,83,4,0,0,0.0,0.0,0,1988368,497092.0,583923.0499999999,4
compute,8,Mar08_221120_1837392,2.236515,84,4,0,0,0.0,0.0,0,1992084,498021.0,581823.5499999999,4
compute,8,Mar08_221120_1837392,2.236515,85,4,0,0,0.0,0.0,0,1978668,494667.0,583522.7,4
compute,8,Mar08_221120_1837392,2.236515,86,4,0,0,0.0,0.0,0,1991812,497953.0,583327.85,4
compute,8,Mar08_221120_1837392,2.236515,87,4,0,0,0.0,0.0,0,1996215,499053.75,584479.2999999999,4
compute,8,Mar08_221120_1837392,2.236515,88,4,0,0,0.0,0.0,0,1977566,494391.5,585279.95,4
compute,8,Mar08_221120_1837392,2.236515,89,4,0,0,0.0,0.0,0,1987087,496771.75,584530.7999999999,4
compute,8,Mar08_221120_1837392,2.236515,90,4,0,0,0.0,0.0,0,1979258,494814.5,583244.0,4
compute,8,Mar08_221120_1837392,2.236515,91,4,0,0,0.0,0.0,0,1990418,497604.5,584247.25,4
compute,8,Mar08_221120_1837392,2.236515,92,4,0,0,0.0,0.0,0,1981397,495349.25,583229.1,4
compute,8,Mar08_221120_1837392,2.236515,93,4,0,0,0.0,0.0,0,1973666,493416.5,584956.75,4
compute,8,Mar08_221120_1837392,2.236515,94,4,0,0,0.0,0.0,0,1975449,493862.25,582173.3999999999,4
compute,8,Mar08_221120_1837392,2.236515,95,4,0,0,0.0,0.0,0,1970705,492676.25,583830.95,4
compute,8,Mar08_221120_1837392,2.236515,96,4,0,0,0.0,0.0,0,1990345,497586.25,582767.7999999999,4
compute,8,Mar08_221120_1837392,2.236515,97,4,0,0,0.0,0.0,0,1965970,491492.5,584025.75,4
compute,8,Mar08_221120_1837392,2.236515,98,4,0,0,0.0,0.0,0,1986856,496714.0,584846.95,4
compute,8,Mar08_221120_1837392,2.236515,99,4,0,0,0.0,0.0,0,1991803,497950.75,584773.25,4
compute,8,Mar08_221120_1837392,2.236515,100,4,0,0,0.0,0.0,0,1985823,496455.75,584872.3999999999,4
compute,8,Mar08_221120_1837392,2.236515,101,4,0,0,0.0,0.0,0,1985512,496378.0,584939.6499999999,4
compute,8,Mar08_221120_1837392,2.236515,102,4,0,0,0.0,0.0,0,1983105,495776.25,582841.85,4
compute,8,Mar08_221120_1837392,2.236515,103,4,0,0,0.0,0.0,0,1986341,496585.25,584785.8999999999,4
compute,8,Mar08_221120_1837392,2.236515,104,4,0,0,0.0,0.0,0,1988458,497114.5,583944.7,4
compute,8,Mar08_221120_1837392,2.236515,105,4,0,0,0.0,0.0,0,1987757,496939.25,585432.5,4
compute,8,Mar08_221120_1837392,2.236515,106,4,0,0,0.0,0.0,0,1990769,497692.25,583063.7,4
compute,8,Mar08_221120_1837392,2.236515,107,4,0,0,0.0,0.0,0,1986483,496620.75,584858.3999999999,4
